,crop,p,c1,c2,fertilizer subsidy (%),land area (ha),yield (kg/ha),production (kg),Nfert (kg/ha)
635,maize,50,10,30,30.0,260.93,398.96,104100.35,0.0
636,maize,0,30,30,30.0,864.98,82.81,71632.45,0.0
637,maize,30,30,30,30.0,605.49,118.31,71632.45,0.0
638,maize,0,20,-10,-10.0,507.5,141.15,71632.45,0.0
639,maize,40,-30,0,0.0,120214.85,989.96,119008426.22,121.61
640,maize,0,30,-30,-30.0,864.98,82.81,71632.45,0.0
641,maize,-10,-40,-30,-30.0,235204.19,596.65,140334269.0,71.03
642,maize,10,-10,10,10.0,115955.75,963.67,111742667.44,76.3
643,maize,50,20,10,10.0,253.75,282.29,71632.45,0.0
644,maize,50,-40,-30,-30.0,39601.53,2183.71,86478409.54,258.34
645,maize,0,-30,0,0.0,284842.49,499.7,142336085.09,50.47
646,maize,-40,-20,20,20.0,267.8,267.49,71632.45,0.0
647,maize,10,-30,50,50.0,232949.5,511.28,119103071.24,27.77
648,maize,0,30,0,0.0,864.98,82.81,71632.45,0.0
649,maize,40,40,-10,-10.0,1755.68,40.8,71632.45,0.0
650,maize,40,20,-30,-30.0,304.5,235.24,71632.45,0.0
651,maize,10,0,50,50.0,58218.29,1468.57,85497662.93,58.42
652,maize,-20,-10,10,10.0,271.9,263.46,71632.45,0.0
653,maize,-40,50,10,10.0,380988.5,0.19,71632.45,0.0
654,maize,-10,-30,30,30.0,234167.17,532.07,124593235.28,34.44
655,maize,-10,10,30,30.0,554.65,181.35,100582.86,0.0
656,maize,40,50,-30,-30.0,380988.5,0.19,71632.45,0.0
657,maize,-10,40,40,40.0,3218.74,22.25,71632.45,0.0
658,maize,20,0,-10,-10.0,29096.89,322.41,9381257.02,0.07
659,maize,30,20,50,50.0,355.25,201.64,71632.45,0.0
660,maize,-10,-40,-20,-20.0,252251.93,559.38,141105526.42,62.34
661,maize,-20,-40,20,20.0,320244.5,427.09,136774088.99,32.44
662,maize,-20,-20,-40,-40.0,244035.75,589.71,143911085.76,78.48
663,maize,40,30,10,10.0,518.99,138.02,71632.45,0.0
664,maize,20,30,-20,-20.0,691.99,103.52,71632.45,0.0
665,maize,10,50,0,0.0,380988.5,0.19,71632.45,0.0
666,maize,0,-30,-10,-10.0,269430.42,532.93,143586356.0,60.36
667,maize,-30,50,10,10.0,380988.5,0.19,71632.45,0.0
668,maize,-30,-30,-30,-30.0,215.16,332.93,71632.45,0.0
669,maize,50,50,20,20.0,380988.5,0.19,71632.45,0.0
670,maize,-20,50,30,30.0,380988.5,0.19,71632.45,0.0
671,maize,50,40,50,50.0,1463.07,48.96,71632.45,0.0
672,maize,20,50,10,10.0,380988.5,0.19,71632.45,0.0
673,maize,0,50,-10,-10.0,380988.5,0.19,71632.45,0.0
674,maize,-30,10,20,20.0,657.84,153.45,100943.15,0.0
675,maize,-20,40,30,30.0,3511.36,20.4,71632.45,0.0
676,maize,-10,0,50,50.0,65344.61,1347.23,88034290.74,54.87
677,maize,-30,50,30,30.0,380988.5,0.19,71632.45,0.0
678,maize,50,-40,0,0.0,72257.92,1425.54,103006699.94,167.23
679,maize,0,-30,20,20.0,274393.66,487.09,133653695.92,37.7
680,maize,40,40,0,0.0,1755.68,40.8,71632.45,0.0
681,maize,20,10,-20,-20.0,410.48,249.35,102354.28,0.0
682,maize,40,-10,-40,-40.0,72269.72,1446.09,104508456.27,207.44
683,maize,-40,0,-30,-30.0,388.98,184.15,71632.45,0.0
684,maize,40,50,0,0.0,380988.5,0.19,71632.45,0.0
685,maize,0,30,40,40.0,864.98,82.81,71632.45,0.0
